MAGPIID,z,StellarMass_bestfit,StellarMass_median,StellarMass_16,StellarMass_84,SFRburst_bestfit,SFRburst_median,SFRburst_16,SFRburst_84
2308069035,0.7477,20200932698.7369,19040221441.9555,15379009701.1909,24344745555.7195,1.20569729289405,1.36270239205152,0.0008970059521725308,7.9392834353884165
2308074355,0.7742,1891069304.37788,1356313342.3482,999760521.690553,1939883200.78808,0.546811262848828,0.7341813489008475,0.5804021475493264,0.9220017385213988
2308076115,0.6225,831884872.41215,80216929.8176886,22550.1118160959,645789306.49274,0.454130362603503,0.030781577131015952,4.860250649419695e-09,0.25508032896763777
2308076143,1.0181,25587954943.8751,31700804176.2954,22037300557.8117,43734519977.3093,100.768093793519,28.6448549200393,11.68103070115649,85.97442802244322
2308076271,0.3876,6156289833.26137,6236704240.83363,5600802275.49645,7218627045.05972,2.5425049539197,2.037030051620385,1.6809948933935466,2.3331642968581647
2308082155,1.02,8505399971.88325,6991009925.30066,4590432668.99869,12163887589.7174,0.0,0.0096937958596082,1.7469576689888103e-23,7.1329288597546245
2308097160,1.139,21015420713.6886,29256059659.5507,16460693190.8054,54817545642.5006,34.7004372880113,22.387022189975397,11.710005037667132,48.610894869790734
2308105335,1.033,23344396037.818,13068948766.3158,7800283745.64099,22442514210.5946,5.47310869460044,5.947259542476745,3.581828318326976,14.885734999182018
2308129329,0.388,2561017592.45842,2958694151.03649,2124267113.52502,3893925658.9382,5.21465272256741,1.256652545612505,0.7538057429920639,2.6744531139350096
2308140242,0.8081,2368744294.55053,1200913863.48428,604928353.302957,11346954958.8415,0.000355812604659659,0.414963370826614,0.17719661695142694,10.531074306836228
2308141103,1.1163,1492401757.62252,1451698663.74662,920124621.334155,2383748391.62279,1.59381115013213,0.9882500193782445,0.7086581800505979,1.5083573508570975
2308142302,1.0056,47903275419.9887,65461341341.1214,1586872291.05335,328223161634.985,36.0191933136815,51.80129930918925,0.7738580621933497,288.6328066906586
2308151126,0.3474,10093175311.6174,9376078109.8616,7656976921.77644,11220880303.4822,0.0,3.80840975479075e-62,0.0,3.7041198742854377e-09
2308166074,0.8326,314840154.123319,362986574.766394,248713504.480473,563300867.627794,0.235808483791628,0.2186011423606955,0.1612432560942669,0.3037952654110179
2308168162,0.3462,95255668.9616969,127653058.945357,68885070.3118329,300761392.144531,0.305006058003357,0.03327707987692215,0.019279970259286287,0.08614836254520665
2308181158,0.3467,96167729.8921623,148989759.310511,91783891.5704162,258917997.395112,0.00515658598280943,0.02993267644473615,8.947113955826498e-13,0.04460801180018751
2308184285,1.0126,19464143122.7224,11572659120.5924,8208388436.30993,18541797884.3705,7.39264855044852,6.4501837772222945,4.959491824397099,11.716257858742255
2308186140,0.3477,1388697309.45786,1844582017.02146,1448688814.4131,2411111355.22008,2.00697156941462,1.537707820231885,1.2190025330136605,2.2841990376762107
2308194113,1.1427,4384277950.18451,661760072.447976,397860895.050557,2264947863.7522,10.9096636529417,1.75277809486457,1.14059611272118,5.764380886020371
2308197154,1.1478,1870980489.03417,1180490498.79985,622046714.461314,2347109970.60224,5.24862180980524,0.8197990388950276,0.4593638743256135,1.856988571559658
2308198064,0.3453,1025296373.1861,849747698.799673,511172776.214164,1776112075.3597,0.562066038978003,0.1983978813677125,0.09478543248652772,0.7798334256408848
2308198197,0.3469,239570039821.26,221951631781.421,189962307838.517,252260717325.755,49.0735878706363,3.36041805589301,0.00036852695613810417,37.9975746730947
2308207056,0.9998,5879886000.24989,1238139147.43648,801087940.944548,3645989650.61706,2.03730732549317,0.7965759090227971,0.6098718000187235,1.893822124973341
2308211114,0.9997,864318606.346523,1438311923.21209,808320557.458051,2732133196.24514,1.2569339197599,1.002329293202555,0.6578094621581037,1.6420417716589637
2308219108,0.4568,482825091.76148,54225176.6582846,6811263.03221599,132737523.90403,1.5875359190804,0.018418187075428,0.0011261644580739165,0.044089214605403944
2308227112,0.4572,106257252108.842,104087343.789633,8867228.94622052,414675003.483087,109.000680975375,0.037166151289497254,0.0015537930635530523,0.13328872917668
2308246262,1.3159,34016511304.3133,34341198001.1741,25814817693.0327,43046093076.0148,309.11969781396,39.65856260410895,22.89609974134487,118.61085647578422
2308248215,0.3483,6275070352.55865,8026504578.96226,5584110504.55099,11994169921.8624,3.09841041964849,3.46087838539101,2.8921647825255583,4.350928538977336
2308250227,0.3479,68231041.6603502,151317464.980089,70797961.7111544,225301618.683315,0.219229621157507,0.109632753129344,0.07884780375956389,0.21263786744447594
2308254223,0.348,34191471.5204612,72717259.6478209,38743461.2163033,194586332.797381,0.0386332122569932,0.0179203562961682,0.008504448066163316,0.046185445601192004
2308255098,0.7959,3835202776.26096,744796848.618147,39640136.0339694,4796315712.35305,4.18331963211106e-09,0.22622395798404799,0.006947436839791361,2.733016621827847
2308258220,0.3479,1425541425.8618,925379207.614461,544182831.007786,1420208922.03921,0.0589460458820697,1.029432653588445e-06,3.603311484164536e-178,0.3924788931166659
2308265117,0.7249,702118285.830088,615104924.255624,361239761.857649,1205855409.68686,0.444736603170626,0.3154734461622925,0.2266542545322604,0.610338889557095
