# MAGPI master source catalogue
#
# Generated 2024-08-23-16:45:12
# MAGPIID  -  unique MAGPI identifier
# segID    -  Segmentation ID, which can be matched against values in segim
# xmax     -  x position of maximum flux
# ymax     -  y position of maximum flux
# RAmax    -  Right Ascension of max flux
# Decmax   -  Declination of max flux
# z        -  Redshift. Only robust for QOP=3,4
# QOP      -  Redshift quality [4=great, 3=good, 2=possible, 1=unknown, 0=error]
# mag_rt   -  total r-band magnitude
# mag_it   -  total i-band magnitude
# R50_it   -  Approximate elliptical semi-major axis containing 50% of the flux (arcsec)
# R90_it   -  Approximate elliptical semi-major axis containing 90% of the flux (arcsec)
# axrat_it -  Axial ratio as given by min/maj
# ang_it   -  Orientation of the semi-major axis (cc from Y axis)
MAGPIID,segID,xmax,ymax,RAmax,Decmax,z,QOP,mag_it,mag_rt,R50_it,R90_it,axrat_it,ang_it
1201271244,20,271.50,244.50,174.707038,-1.925622,0.1992,3,24.152,23.972,0.453,0.868,0.895,101.17
1201274321,77,274.50,321.50,174.706871,-1.921344,0.8175,1,25.290,25.354,0.444,0.772,0.792,20.98
1201276355,105,276.50,355.50,174.706760,-1.919455,1.2595,2,26.022,nan,nan,nan,0.811,6.23
1201278041,47,278.50,41.50,174.706649,-1.936900,1.4437,3,24.325,24.004,0.512,0.882,0.860,114.97
1201278050,44,278.50,50.50,174.706649,-1.936400,1.4435,1,24.388,24.388,0.479,0.867,0.734,97.85
1201278070,48,278.50,70.50,174.706649,-1.935288,0.2984,3,24.691,24.443,0.436,0.773,0.823,53.67
1201284050,79,284.50,50.50,174.706315,-1.936400,1.2940,1,25.830,25.208,0.369,0.645,0.848,31.24
1201287227,85,287.50,227.50,174.706148,-1.926566,0.3566,1,26.229,25.360,0.516,0.858,0.625,11.86
1201290288,25,290.50,288.50,174.705982,-1.923177,0.7574,4,24.085,23.465,0.644,1.249,0.724,93.25
1201291296,41,291.50,296.50,174.705926,-1.922733,0.9426,1,24.994,24.825,0.431,0.766,0.774,58.42
1201294250,36,294.50,250.50,174.705759,-1.925288,0.8712,3,24.705,23.521,0.792,1.467,0.599,32.20
1201300075,10,300.50,75.50,174.705426,-1.935011,0.4796,4,22.186,21.773,0.697,1.438,0.874,66.16
1201302222,8,302.50,222.50,174.705314,-1.926844,0.2992,4,21.927,21.840,0.813,1.619,0.784,17.67
1201303336,38,303.50,336.50,174.705259,-1.920511,1.2639,3,24.817,24.901,0.386,0.593,0.842,120.09
1201308160,56,308.50,160.50,174.704981,-1.930288,1.1925,1,24.724,24.446,0.525,1.104,0.824,132.26
1201309292,161,309.50,292.50,174.704925,-1.922955,0.8117,1,26.571,26.659,0.284,0.445,0.791,172.44
1201310142,19,310.50,142.50,174.704870,-1.931288,0.6903,4,23.903,23.252,0.513,1.010,0.867,122.48
1201310200,55,310.50,200.50,174.704870,-1.928066,0.8267,4,24.933,24.190,0.628,1.308,0.807,89.67
1201313233,122,313.50,233.50,174.704703,-1.926233,2.8897,2,26.393,26.511,0.359,0.575,0.732,37.95
1201314179,50,314.50,179.50,174.704647,-1.929233,0.3338,4,23.129,22.765,1.009,2.105,0.848,152.50
1201320149,27,320.50,149.50,174.704314,-1.930900,0.2622,4,22.696,22.376,0.898,1.820,0.952,133.50
1201335135,252,335.50,135.50,174.703480,-1.931677,0.3563,1,26.331,25.899,0.440,0.644,0.781,162.61
1201335139,214,335.50,139.50,174.703480,-1.931455,5.1800,1,25.850,25.227,0.546,0.827,0.787,10.92
